pID,techniqueID,datasetID,nbUnion,nbInter,nbMinus,nbConstraint,nbUnconstraint,nbTotalUnion,nbTotalInter,nbTotalMinus,nbTotalConstraint,nbTotalUnconstraint,nbReset,nbCancel,nbDisconnection,tct,mcc,f1
13,0,0,3,0,6,9,0,3,0,6,9,0,0,0,0,379127597,0.9767490520237665,0.9914034937141153
13,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,97328194,0.897264810832936,0.921305050366143
13,0,1,1,0,2,3,0,1,0,2,3,0,0,0,0,124362831,0.9095022502014578,0.9305651038086072
13,0,2,4,0,0,4,0,4,0,0,4,0,0,0,0,199071156,0.9980138380411684,0.9990054357004797
13,0,2,2,0,1,3,0,2,0,1,3,0,0,0,0,227035599,0.9885020655570875,0.9942587426521869
13,1,0,7,0,4,11,0,8,0,4,11,1,0,1,0,851810080,0.9550482215761994,0.9834411687737441
13,1,0,4,0,4,8,0,4,0,5,8,1,0,1,0,559258381,0.9586895481224714,0.9846523130637184
13,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,206389763,0.8821103645160702,0.9080335140463283
13,1,1,1,0,1,2,0,2,0,1,3,0,0,1,0,193238870,0.8652992324997236,0.8960483094993199
13,1,2,2,0,0,2,0,2,0,0,2,0,0,0,0,190275479,0.9922503634837689,0.9961263483048103
13,1,2,2,0,0,2,0,3,0,0,3,0,0,1,0,263705927,0.9978125063142823,0.9989063115199769
14,0,0,1,3,1,5,0,1,3,1,5,0,0,0,0,580995372,0.9790263810203106,0.992208099212627
14,0,0,1,2,1,4,0,1,2,1,4,0,0,0,0,262218471,0.9820487654491197,0.9933493626094452
14,0,1,1,1,1,3,0,1,1,1,3,0,0,0,0,220029308,0.8958800637930966,0.9194777296680428
14,0,1,1,1,1,3,0,1,1,2,4,0,0,1,0,227032187,0.8909158892318569,0.91499636171198
14,0,2,2,0,0,2,0,3,0,0,3,0,0,1,0,321300290,0.996841727941823,0.9984164439464971
14,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,238223772,0.9978147264545466,0.9989050935050148
14,1,0,1,2,1,4,0,3,2,1,4,2,3,1,0,485030267,0.9824227830289193,0.9934926633858089
14,1,0,1,2,1,4,0,1,2,1,4,0,0,0,0,209201504,0.9818407938258094,0.9932734307317582
14,1,1,2,1,1,4,0,2,2,1,4,1,0,1,0,315081817,0.8658384454184509,0.8951416609872457
14,1,1,1,1,1,3,0,1,1,1,3,0,0,0,0,151610824,0.9044432298597483,0.9263951632077715
14,1,2,1,0,1,2,0,1,0,1,2,0,0,0,0,183747564,0.9986875007022021,0.9993437623044568
14,1,2,1,0,2,3,0,1,0,2,3,0,0,0,0,234357688,0.998012517543189,0.9990063431553292
15,0,0,1,2,2,5,0,4,2,2,7,1,0,3,0,370082903,0.9793732313452259,0.992369935918323
15,0,0,1,1,6,8,0,1,1,6,8,0,0,0,0,247993493,0.9794537739792559,0.9923996147811894
15,0,1,1,1,1,3,0,2,2,2,6,0,1,0,0,292858071,0.8978238272846577,0.9210278487824567
15,0,1,1,0,2,3,0,1,0,2,3,0,0,0,0,134240960,0.8943771177896332,0.9184965647312406
15,0,2,3,0,0,2,1,3,0,0,2,1,0,0,0,162716547,0.9977885670886718,0.9988929404627133
15,0,2,2,0,1,3,0,2,0,1,3,0,0,0,0,122126846,0.9978146223071861,0.9989051209059342
15,1,0,1,2,0,3,0,3,2,0,3,2,0,2,0,269599801,0.9722399694500927,0.9897439607846684
15,1,0,1,2,3,6,0,1,2,3,6,0,0,0,0,242206550,0.9803472591057721,0.9927262541564262
15,1,1,1,0,2,3,0,2,0,2,4,0,1,0,0,285980102,0.9032054548116031,0.9256012280402525
15,1,1,1,0,3,4,0,1,0,3,4,0,0,0,0,160761155,0.900431678670776,0.9228191293273903
15,1,2,2,0,0,1,1,2,0,0,1,1,0,0,0,131818969,0.9883516677428001,0.9941199381839656
15,1,2,2,0,0,2,0,2,0,0,2,0,0,0,0,103199836,0.9983758763872087,0.9991869613619023
16,0,0,5,0,17,22,0,5,0,17,22,0,0,0,0,481699251,0.9654094590132446,0.9872245231656589
16,0,0,1,0,15,16,0,1,0,15,16,0,0,0,0,407845137,0.962782378149599,0.9862572404108022
16,0,1,3,0,6,9,0,3,0,6,9,0,0,0,0,401992562,0.7958950535946842,0.8445576241439829
16,0,1,1,0,6,7,0,1,0,7,8,0,0,1,0,366340094,0.781007543506875,0.8300814784753223
16,0,2,5,0,4,9,0,5,0,4,9,0,0,0,0,407570505,0.9974887968142075,0.9987427363311671
