pID,techniqueID,datasetID,nbUnion,nbInter,nbMinus,nbConstraint,nbUnconstraint,nbTotalUnion,nbTotalInter,nbTotalMinus,nbTotalConstraint,nbTotalUnconstraint,nbReset,nbCancel,nbDisconnection,tct,mcc,f1
11,2,0,1,2,1,4,0,1,2,1,4,0,0,0,1,322448721,0.9796118491742839,0.9924415411084831
11,2,1,1,1,1,3,0,1,1,1,3,0,0,0,0,127678564,0.8941502785968409,0.9179298831385643
11,2,1,1,1,1,3,0,1,1,1,3,0,0,0,0,119527752,0.8764213307235839,0.9036444677503934
11,2,2,2,0,1,2,1,3,0,3,4,2,0,2,0,359801805,0.9919294061831259,0.9959343472368618
11,2,2,3,0,1,1,3,3,0,1,1,3,0,0,0,202846372,0.978800275287616,0.9894039735099337
1,1,0,4,0,2,0,6,4,0,2,0,6,0,0,1,438622112,0.6958946864198869,0.8502608900472624
1,1,0,4,0,0,0,4,4,0,0,0,4,0,0,0,145935599,0.8289456241951302,0.9261827158589033
1,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,98776918,0.8633161990691706,0.8955550989658242
1,1,2,2,0,1,3,0,2,0,1,3,0,0,0,0,150799832,0.9951781099364528,0.9975844806007509
1,1,2,2,0,1,3,0,5,0,1,5,1,2,2,0,216225922,0.9924046919143987,0.9962058335309463
1,0,0,4,0,2,2,4,6,0,2,3,5,0,2,0,299968743,0.7789539107435807,0.8997305193045724
1,0,0,4,0,1,2,3,5,0,1,3,3,0,1,0,218785892,0.8395644772226236,0.9298741727936733
1,0,1,3,0,2,5,0,3,0,2,5,0,0,0,0,134361663,0.8441419041568882,0.8809742490730346
1,0,1,2,0,1,3,0,2,0,1,3,0,0,0,0,79978279,0.8387869832880622,0.8761192419720235
1,0,2,2,0,5,7,0,3,0,5,8,0,0,1,0,226397256,0.9823652966944445,0.9911869701026328
1,0,2,2,0,7,9,0,3,0,7,10,0,0,1,0,218411550,0.994306177457038,0.9971550142873186
1,2,0,6,0,0,0,6,10,0,0,0,10,1,4,0,345539567,0.6618953194486913,0.8191756709470135
1,2,0,2,0,0,0,2,2,0,0,0,2,0,0,0,71394993,0.7857099109353642,0.9013702830072051
1,2,1,2,0,2,4,0,2,0,2,4,0,0,0,0,143341777,0.7966564888966347,0.8429980706927305
1,2,1,2,0,2,4,0,2,0,2,4,0,0,0,0,120235669,0.7546641129333994,0.8053865870920845
1,2,2,3,0,1,4,0,3,0,1,4,0,0,0,0,146023809,0.9924048462253346,0.9962049690602157
1,2,2,2,0,1,3,0,2,0,1,3,0,0,0,0,77350846,0.9763593976649538,0.9881890493760777
12,0,0,1,1,5,7,0,2,1,5,8,0,0,1,0,286836600,0.9651125614627751,0.9869272692416537
12,0,0,3,1,9,13,0,3,1,9,13,0,0,0,0,306367980,0.9662433958256913,0.9873087979233409
12,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,45610943,0.721321146433793,0.7754715931222526
12,0,1,4,0,1,5,0,4,0,1,5,0,1,0,0,211292538,0.8663182962312893,0.8971419020558249
12,0,2,4,0,2,6,0,4,0,2,6,0,0,0,0,212270030,0.9985754992878745,0.9992871435717858
12,0,2,2,0,3,5,0,2,0,3,5,0,0,0,0,133205807,0.9984134959959601,0.9992056890178689
12,1,0,1,1,4,6,0,1,1,5,7,0,0,1,0,206791148,0.9655093566829439,0.987162509613328
12,1,0,1,1,1,3,0,1,1,1,3,0,0,0,0,104876637,0.9532527658745669,0.9826721324126911
12,1,1,3,0,0,3,0,3,0,0,3,0,0,0,0,108823647,0.8812825681206004,0.9081884202811646
12,1,1,1,0,2,3,0,1,0,2,3,0,1,0,0,120392135,0.889742861664893,0.9148066224277768
12,1,2,6,0,0,6,0,6,0,0,6,0,0,0,0,179801211,0.9985875281632893,0.9992938338572295
12,1,2,5,0,5,10,0,5,0,5,10,0,0,0,0,198283829,0.9947525179704979,0.9973779498064678
12,2,0,1,1,1,3,0,1,1,1,3,0,0,0,0,96598931,0.9524693917783831,0.9823683302145596
